temperature_c,chi_hardware,erased_bits_per_sec,mem_energy_j,cache_size_bits,q_min_w,q_actual_w,caching_energy_j,erasure_avoided_j,is_caching_efficient
25.0,100.0,1000000000.0,1e-09,100000000.0,2.8532745152874054e-12,2.8532745152874056e-10,2e-09,2.8532745152874052e-11,0
25.0,100.0,1000000000.0,1e-09,10000000000.0,2.8532745152874054e-12,2.8532745152874056e-10,2e-09,2.853274515287405e-09,1
25.0,100.0,1000000000.0,1e-09,1000000000000.0,2.8532745152874054e-12,2.8532745152874056e-10,2e-09,2.853274515287405e-07,1
25.0,100.0,1000000000.0,1e-08,100000000.0,2.8532745152874054e-12,2.8532745152874056e-10,2e-08,2.8532745152874052e-11,0
25.0,100.0,1000000000.0,1e-08,10000000000.0,2.8532745152874054e-12,2.8532745152874056e-10,2e-08,2.853274515287405e-09,0
25.0,100.0,1000000000.0,1e-08,1000000000000.0,2.8532745152874054e-12,2.8532745152874056e-10,2e-08,2.853274515287405e-07,1
25.0,100.0,1000000000.0,2.5e-08,100000000.0,2.8532745152874054e-12,2.8532745152874056e-10,5e-08,2.8532745152874052e-11,0
25.0,100.0,1000000000.0,2.5e-08,10000000000.0,2.8532745152874054e-12,2.8532745152874056e-10,5e-08,2.853274515287405e-09,0
25.0,100.0,1000000000.0,2.5e-08,1000000000000.0,2.8532745152874054e-12,2.8532745152874056e-10,5e-08,2.853274515287405e-07,1
25.0,100.0,100000000000.0,1e-12,100000000.0,2.853274515287405e-10,2.853274515287405e-08,2e-12,2.8532745152874052e-11,1
25.0,100.0,100000000000.0,1e-12,10000000000.0,2.853274515287405e-10,2.853274515287405e-08,2e-12,2.853274515287405e-09,1
25.0,100.0,100000000000.0,1e-12,1000000000000.0,2.853274515287405e-10,2.853274515287405e-08,2e-12,2.853274515287405e-07,1
25.0,100.0,100000000000.0,1e-09,100000000.0,2.853274515287405e-10,2.853274515287405e-08,2e-09,2.8532745152874052e-11,0
25.0,100.0,100000000000.0,1e-09,10000000000.0,2.853274515287405e-10,2.853274515287405e-08,2e-09,2.853274515287405e-09,1
25.0,100.0,100000000000.0,1e-09,1000000000000.0,2.853274515287405e-10,2.853274515287405e-08,2e-09,2.853274515287405e-07,1
25.0,100.0,100000000000.0,1e-08,100000000.0,2.853274515287405e-10,2.853274515287405e-08,2e-08,2.8532745152874052e-11,0
25.0,100.0,100000000000.0,1e-08,10000000000.0,2.853274515287405e-10,2.853274515287405e-08,2e-08,2.853274515287405e-09,0
25.0,100.0,100000000000.0,1e-08,1000000000000.0,2.853274515287405e-10,2.853274515287405e-08,2e-08,2.853274515287405e-07,1
25.0,100.0,100000000000.0,2.5e-08,100000000.0,2.853274515287405e-10,2.853274515287405e-08,5e-08,2.8532745152874052e-11,0
25.0,100.0,100000000000.0,2.5e-08,10000000000.0,2.853274515287405e-10,2.853274515287405e-08,5e-08,2.853274515287405e-09,0
25.0,100.0,100000000000.0,2.5e-08,1000000000000.0,2.853274515287405e-10,2.853274515287405e-08,5e-08,2.853274515287405e-07,1
25.0,100.0,10000000000000.0,1e-12,100000000.0,2.853274515287405e-08,2.8532745152874053e-06,2e-12,2.8532745152874052e-11,1
25.0,100.0,10000000000000.0,1e-12,10000000000.0,2.853274515287405e-08,2.8532745152874053e-06,2e-12,2.853274515287405e-09,1
25.0,100.0,10000000000000.0,1e-12,1000000000000.0,2.853274515287405e-08,2.8532745152874053e-06,2e-12,2.853274515287405e-07,1
25.0,100.0,10000000000000.0,1e-09,100000000.0,2.853274515287405e-08,2.8532745152874053e-06,2e-09,2.8532745152874052e-11,0
25.0,100.0,10000000000000.0,1e-09,10000000000.0,2.853274515287405e-08,2.8532745152874053e-06,2e-09,2.853274515287405e-09,1
25.0,100.0,10000000000000.0,1e-09,1000000000000.0,2.853274515287405e-08,2.8532745152874053e-06,2e-09,2.853274515287405e-07,1
25.0,100.0,10000000000000.0,1e-08,100000000.0,2.853274515287405e-08,2.8532745152874053e-06,2e-08,2.8532745152874052e-11,0
25.0,100.0,10000000000000.0,1e-08,10000000000.0,2.853274515287405e-08,2.8532745152874053e-06,2e-08,2.853274515287405e-09,0
25.0,100.0,10000000000000.0,1e-08,1000000000000.0,2.853274515287405e-08,2.8532745152874053e-06,2e-08,2.853274515287405e-07,1
25.0,100.0,10000000000000.0,2.5e-08,100000000.0,2.853274515287405e-08,2.8532745152874053e-06,5e-08,2.8532745152874052e-11,0
25.0,100.0,10000000000000.0,2.5e-08,10000000000.0,2.853274515287405e-08,2.8532745152874053e-06,5e-08,2.853274515287405e-09,0
25.0,100.0,10000000000000.0,2.5e-08,1000000000000.0,2.853274515287405e-08,2.8532745152874053e-06,5e-08,2.853274515287405e-07,1
25.0,10000.0,1000000000.0,1e-12,100000000.0,2.8532745152874054e-12,2.8532745152874054e-08,2e-12,2.8532745152874055e-09,1
25.0,10000.0,1000000000.0,1e-12,10000000000.0,2.8532745152874054e-12,2.8532745152874054e-08,2e-12,2.853274515287405e-07,1
25.0,10000.0,1000000000.0,1e-12,1000000000000.0,2.8532745152874054e-12,2.8532745152874054e-08,2e-12,2.853274515287405e-05,1
25.0,10000.0,1000000000.0,1e-09,100000000.0,2.8532745152874054e-12,2.8532745152874054e-08,2e-09,2.8532745152874055e-09,1
25.0,10000.0,1000000000.0,1e-09,10000000000.0,2.8532745152874054e-12,2.8532745152874054e-08,2e-09,2.853274515287405e-07,1
25.0,10000.0,1000000000.0,1e-09,1000000000000.0,2.8532745152874054e-12,2.8532745152874054e-08,2e-09,2.853274515287405e-05,1
25.0,10000.0,1000000000.0,1e-08,100000000.0,2.8532745152874054e-12,2.8532745152874054e-08,2e-08,2.8532745152874055e-09,0
25.0,10000.0,1000000000.0,1e-08,10000000000.0,2.8532745152874054e-12,2.8532745152874054e-08,2e-08,2.853274515287405e-07,1
25.0,10000.0,1000000000.0,1e-08,1000000000000.0,2.8532745152874054e-12,2.8532745152874054e-08,2e-08,2.853274515287405e-05,1
25.0,10000.0,1000000000.0,2.5e-08,100000000.0,2.8532745152874054e-12,2.8532745152874054e-08,5e-08,2.8532745152874055e-09,0
25.0,10000.0,1000000000.0,2.5e-08,10000000000.0,2.8532745152874054e-12,2.8532745152874054e-08,5e-08,2.853274515287405e-07,1
25.0,10000.0,1000000000.0,2.5e-08,1000000000000.0,2.8532745152874054e-12,2.8532745152874054e-08,5e-08,2.853274515287405e-05,1
25.0,10000.0,100000000000.0,1e-12,100000000.0,2.853274515287405e-10,2.8532745152874053e-06,2e-12,2.8532745152874055e-09,1
25.0,10000.0,100000000000.0,1e-12,10000000000.0,2.853274515287405e-10,2.8532745152874053e-06,2e-12,2.853274515287405e-07,1
25.0,10000.0,100000000000.0,1e-12,1000000000000.0,2.853274515287405e-10,2.8532745152874053e-06,2e-12,2.853274515287405e-05,1
25.0,10000.0,100000000000.0,1e-09,100000000.0,2.853274515287405e-10,2.8532745152874053e-06,2e-09,2.8532745152874055e-09,1
25.0,10000.0,100000000000.0,1e-09,10000000000.0,2.853274515287405e-10,2.8532745152874053e-06,2e-09,2.853274515287405e-07,1
25.0,10000.0,100000000000.0,1e-09,1000000000000.0,2.853274515287405e-10,2.8532745152874053e-06,2e-09,2.853274515287405e-05,1
25.0,10000.0,100000000000.0,1e-08,100000000.0,2.853274515287405e-10,2.8532745152874053e-06,2e-08,2.8532745152874055e-09,0
25.0,10000.0,100000000000.0,1e-08,10000000000.0,2.853274515287405e-10,2.8532745152874053e-06,2e-08,2.853274515287405e-07,1
25.0,10000.0,100000000000.0,1e-08,1000000000000.0,2.853274515287405e-10,2.8532745152874053e-06,2e-08,2.853274515287405e-05,1
25.0,10000.0,100000000000.0,2.5e-08,100000000.0,2.853274515287405e-10,2.8532745152874053e-06,5e-08,2.8532745152874055e-09,0
25.0,10000.0,100000000000.0,2.5e-08,10000000000.0,2.853274515287405e-10,2.8532745152874053e-06,5e-08,2.853274515287405e-07,1
25.0,10000.0,100000000000.0,2.5e-08,1000000000000.0,2.853274515287405e-10,2.8532745152874053e-06,5e-08,2.853274515287405e-05,1
25.0,10000.0,10000000000000.0,1e-12,100000000.0,2.853274515287405e-08,0.0002853274515287405,2e-12,2.8532745152874055e-09,1
25.0,10000.0,10000000000000.0,1e-12,10000000000.0,2.853274515287405e-08,0.0002853274515287405,2e-12,2.853274515287405e-07,1
25.0,10000.0,10000000000000.0,1e-12,1000000000000.0,2.853274515287405e-08,0.0002853274515287405,2e-12,2.853274515287405e-05,1
25.0,10000.0,10000000000000.0,1e-09,100000000.0,2.853274515287405e-08,0.0002853274515287405,2e-09,2.8532745152874055e-09,1
25.0,10000.0,10000000000000.0,1e-09,10000000000.0,2.853274515287405e-08,0.0002853274515287405,2e-09,2.853274515287405e-07,1
25.0,10000.0,10000000000000.0,1e-09,1000000000000.0,2.853274515287405e-08,0.0002853274515287405,2e-09,2.853274515287405e-05,1
25.0,10000.0,10000000000000.0,1e-08,100000000.0,2.853274515287405e-08,0.0002853274515287405,2e-08,2.8532745152874055e-09,0
25.0,10000.0,10000000000000.0,1e-08,10000000000.0,2.853274515287405e-08,0.0002853274515287405,2e-08,2.853274515287405e-07,1
25.0,10000.0,10000000000000.0,1e-08,1000000000000.0,2.853274515287405e-08,0.0002853274515287405,2e-08,2.853274515287405e-05,1
25.0,10000.0,10000000000000.0,2.5e-08,100000000.0,2.853274515287405e-08,0.0002853274515287405,5e-08,2.8532745152874055e-09,0
25.0,10000.0,10000000000000.0,2.5e-08,10000000000.0,2.853274515287405e-08,0.0002853274515287405,5e-08,2.853274515287405e-07,1
25.0,10000.0,10000000000000.0,2.5e-08,1000000000000.0,2.853274515287405e-08,0.0002853274515287405,5e-08,2.853274515287405e-05,1
25.0,1000000.0,1000000000.0,1e-12,100000000.0,2.8532745152874054e-12,2.8532745152874053e-06,2e-12,2.8532745152874056e-07,1
25.0,1000000.0,1000000000.0,1e-12,10000000000.0,2.8532745152874054e-12,2.8532745152874053e-06,2e-12,2.8532745152874053e-05,1
25.0,1000000.0,1000000000.0,1e-12,1000000000000.0,2.8532745152874054e-12,2.8532745152874053e-06,2e-12,0.002853274515287405,1
25.0,1000000.0,1000000000.0,1e-09,100000000.0,2.8532745152874054e-12,2.8532745152874053e-06,2e-09,2.8532745152874056e-07,1
25.0,1000000.0,1000000000.0,1e-09,10000000000.0,2.8532745152874054e-12,2.8532745152874053e-06,2e-09,2.8532745152874053e-05,1
25.0,1000000.0,1000000000.0,1e-09,1000000000000.0,2.8532745152874054e-12,2.8532745152874053e-06,2e-09,0.002853274515287405,1
25.0,1000000.0,1000000000.0,1e-08,100000000.0,2.8532745152874054e-12,2.8532745152874053e-06,2e-08,2.8532745152874056e-07,1
25.0,1000000.0,1000000000.0,1e-08,10000000000.0,2.8532745152874054e-12,2.8532745152874053e-06,2e-08,2.8532745152874053e-05,1
25.0,1000000.0,1000000000.0,1e-08,1000000000000.0,2.8532745152874054e-12,2.8532745152874053e-06,2e-08,0.002853274515287405,1
25.0,1000000.0,1000000000.0,2.5e-08,100000000.0,2.8532745152874054e-12,2.8532745152874053e-06,5e-08,2.8532745152874056e-07,1
25.0,1000000.0,1000000000.0,2.5e-08,10000000000.0,2.8532745152874054e-12,2.8532745152874053e-06,5e-08,2.8532745152874053e-05,1
25.0,1000000.0,1000000000.0,2.5e-08,1000000000000.0,2.8532745152874054e-12,2.8532745152874053e-06,5e-08,0.002853274515287405,1
25.0,1000000.0,100000000000.0,1e-12,100000000.0,2.853274515287405e-10,0.0002853274515287405,2e-12,2.8532745152874056e-07,1
25.0,1000000.0,100000000000.0,1e-12,10000000000.0,2.853274515287405e-10,0.0002853274515287405,2e-12,2.8532745152874053e-05,1
25.0,1000000.0,100000000000.0,1e-12,1000000000000.0,2.853274515287405e-10,0.0002853274515287405,2e-12,0.002853274515287405,1
25.0,1000000.0,100000000000.0,1e-09,100000000.0,2.853274515287405e-10,0.0002853274515287405,2e-09,2.8532745152874056e-07,1
25.0,1000000.0,100000000000.0,1e-09,10000000000.0,2.853274515287405e-10,0.0002853274515287405,2e-09,2.8532745152874053e-05,1
25.0,1000000.0,100000000000.0,1e-09,1000000000000.0,2.853274515287405e-10,0.0002853274515287405,2e-09,0.002853274515287405,1
25.0,1000000.0,100000000000.0,1e-08,100000000.0,2.853274515287405e-10,0.0002853274515287405,2e-08,2.8532745152874056e-07,1
25.0,1000000.0,100000000000.0,1e-08,10000000000.0,2.853274515287405e-10,0.0002853274515287405,2e-08,2.8532745152874053e-05,1
25.0,1000000.0,100000000000.0,1e-08,1000000000000.0,2.853274515287405e-10,0.0002853274515287405,2e-08,0.002853274515287405,1
25.0,1000000.0,100000000000.0,2.5e-08,100000000.0,2.853274515287405e-10,0.0002853274515287405,5e-08,2.8532745152874056e-07,1
25.0,1000000.0,100000000000.0,2.5e-08,10000000000.0,2.853274515287405e-10,0.0002853274515287405,5e-08,2.8532745152874053e-05,1
25.0,1000000.0,100000000000.0,2.5e-08,1000000000000.0,2.853274515287405e-10,0.0002853274515287405,5e-08,0.002853274515287405,1
25.0,1000000.0,10000000000000.0,1e-12,100000000.0,2.853274515287405e-08,0.028532745152874052,2e-12,2.8532745152874056e-07,1
25.0,1000000.0,10000000000000.0,1e-12,10000000000.0,2.853274515287405e-08,0.028532745152874052,2e-12,2.8532745152874053e-05,1
25.0,1000000.0,10000000000000.0,1e-12,1000000000000.0,2.853274515287405e-08,0.028532745152874052,2e-12,0.002853274515287405,1
25.0,1000000.0,10000000000000.0,1e-09,100000000.0,2.853274515287405e-08,0.028532745152874052,2e-09,2.8532745152874056e-07,1
25.0,1000000.0,10000000000000.0,1e-09,10000000000.0,2.853274515287405e-08,0.028532745152874052,2e-09,2.8532745152874053e-05,1
25.0,1000000.0,10000000000000.0,1e-09,1000000000000.0,2.853274515287405e-08,0.028532745152874052,2e-09,0.002853274515287405,1
25.0,1000000.0,10000000000000.0,1e-08,100000000.0,2.853274515287405e-08,0.028532745152874052,2e-08,2.8532745152874056e-07,1
25.0,1000000.0,10000000000000.0,1e-08,10000000000.0,2.853274515287405e-08,0.028532745152874052,2e-08,2.8532745152874053e-05,1
25.0,1000000.0,10000000000000.0,1e-08,1000000000000.0,2.853274515287405e-08,0.028532745152874052,2e-08,0.002853274515287405,1
25.0,1000000.0,10000000000000.0,2.5e-08,100000000.0,2.853274515287405e-08,0.028532745152874052,5e-08,2.8532745152874056e-07,1
25.0,1000000.0,10000000000000.0,2.5e-08,10000000000.0,2.853274515287405e-08,0.028532745152874052,5e-08,2.8532745152874053e-05,1
25.0,1000000.0,10000000000000.0,2.5e-08,1000000000000.0,2.853274515287405e-08,0.028532745152874052,5e-08,0.002853274515287405,1
25.0,100000000.0,1000000000.0,1e-12,100000000.0,2.8532745152874054e-12,0.00028532745152874055,2e-12,2.8532745152874053e-05,1
25.0,100000000.0,1000000000.0,1e-12,10000000000.0,2.8532745152874054e-12,0.00028532745152874055,2e-12,0.002853274515287405,1
25.0,100000000.0,1000000000.0,1e-12,1000000000000.0,2.8532745152874054e-12,0.00028532745152874055,2e-12,0.2853274515287405,1
25.0,100000000.0,1000000000.0,1e-09,100000000.0,2.8532745152874054e-12,0.00028532745152874055,2e-09,2.8532745152874053e-05,1
25.0,100000000.0,1000000000.0,1e-09,10000000000.0,2.8532745152874054e-12,0.00028532745152874055,2e-09,0.002853274515287405,1
25.0,100000000.0,1000000000.0,1e-09,1000000000000.0,2.8532745152874054e-12,0.00028532745152874055,2e-09,0.2853274515287405,1
25.0,100000000.0,1000000000.0,1e-08,100000000.0,2.8532745152874054e-12,0.00028532745152874055,2e-08,2.8532745152874053e-05,1
25.0,100000000.0,1000000000.0,1e-08,10000000000.0,2.8532745152874054e-12,0.00028532745152874055,2e-08,0.002853274515287405,1
25.0,100000000.0,1000000000.0,1e-08,1000000000000.0,2.8532745152874054e-12,0.00028532745152874055,2e-08,0.2853274515287405,1
25.0,100000000.0,1000000000.0,2.5e-08,100000000.0,2.8532745152874054e-12,0.00028532745152874055,5e-08,2.8532745152874053e-05,1
25.0,100000000.0,1000000000.0,2.5e-08,10000000000.0,2.8532745152874054e-12,0.00028532745152874055,5e-08,0.002853274515287405,1
25.0,100000000.0,1000000000.0,2.5e-08,1000000000000.0,2.8532745152874054e-12,0.00028532745152874055,5e-08,0.2853274515287405,1
25.0,100000000.0,100000000000.0,1e-12,100000000.0,2.853274515287405e-10,0.028532745152874052,2e-12,2.8532745152874053e-05,1
25.0,100000000.0,100000000000.0,1e-12,10000000000.0,2.853274515287405e-10,0.028532745152874052,2e-12,0.002853274515287405,1
25.0,100000000.0,100000000000.0,1e-12,1000000000000.0,2.853274515287405e-10,0.028532745152874052,2e-12,0.2853274515287405,1
25.0,100000000.0,100000000000.0,1e-09,100000000.0,2.853274515287405e-10,0.028532745152874052,2e-09,2.8532745152874053e-05,1
25.0,100000000.0,100000000000.0,1e-09,10000000000.0,2.853274515287405e-10,0.028532745152874052,2e-09,0.002853274515287405,1
25.0,100000000.0,100000000000.0,1e-09,1000000000000.0,2.853274515287405e-10,0.028532745152874052,2e-09,0.2853274515287405,1
25.0,100000000.0,100000000000.0,1e-08,100000000.0,2.853274515287405e-10,0.028532745152874052,2e-08,2.8532745152874053e-05,1
25.0,100000000.0,100000000000.0,1e-08,10000000000.0,2.853274515287405e-10,0.028532745152874052,2e-08,0.002853274515287405,1
25.0,100000000.0,100000000000.0,1e-08,1000000000000.0,2.853274515287405e-10,0.028532745152874052,2e-08,0.2853274515287405,1
25.0,100000000.0,100000000000.0,2.5e-08,100000000.0,2.853274515287405e-10,0.028532745152874052,5e-08,2.8532745152874053e-05,1
25.0,100000000.0,100000000000.0,2.5e-08,10000000000.0,2.853274515287405e-10,0.028532745152874052,5e-08,0.002853274515287405,1
25.0,100000000.0,100000000000.0,2.5e-08,1000000000000.0,2.853274515287405e-10,0.028532745152874052,5e-08,0.2853274515287405,1
25.0,100000000.0,10000000000000.0,1e-12,100000000.0,2.853274515287405e-08,2.853274515287405,2e-12,2.8532745152874053e-05,1
25.0,100000000.0,10000000000000.0,1e-12,10000000000.0,2.853274515287405e-08,2.853274515287405,2e-12,0.002853274515287405,1
25.0,100000000.0,10000000000000.0,1e-12,1000000000000.0,2.853274515287405e-08,2.853274515287405,2e-12,0.2853274515287405,1
25.0,100000000.0,10000000000000.0,1e-09,100000000.0,2.853274515287405e-08,2.853274515287405,2e-09,2.8532745152874053e-05,1
25.0,100000000.0,10000000000000.0,1e-09,10000000000.0,2.853274515287405e-08,2.853274515287405,2e-09,0.002853274515287405,1
25.0,100000000.0,10000000000000.0,1e-09,1000000000000.0,2.853274515287405e-08,2.853274515287405,2e-09,0.2853274515287405,1
25.0,100000000.0,10000000000000.0,1e-08,100000000.0,2.853274515287405e-08,2.853274515287405,2e-08,2.8532745152874053e-05,1
25.0,100000000.0,10000000000000.0,1e-08,10000000000.0,2.853274515287405e-08,2.853274515287405,2e-08,0.002853274515287405,1
25.0,100000000.0,10000000000000.0,1e-08,1000000000000.0,2.853274515287405e-08,2.853274515287405,2e-08,0.2853274515287405,1
25.0,100000000.0,10000000000000.0,2.5e-08,100000000.0,2.853274515287405e-08,2.853274515287405,5e-08,2.8532745152874053e-05,1
25.0,100000000.0,10000000000000.0,2.5e-08,10000000000.0,2.853274515287405e-08,2.853274515287405,5e-08,0.002853274515287405,1
25.0,100000000.0,10000000000000.0,2.5e-08,1000000000000.0,2.853274515287405e-08,2.853274515287405,5e-08,0.2853274515287405,1
45.0,1.0,1000000000.0,1e-12,100000000.0,3.0446731076259864e-12,3.0446731076259864e-12,2e-12,3.0446731076259863e-13,0
45.0,1.0,1000000000.0,1e-12,10000000000.0,3.0446731076259864e-12,3.0446731076259864e-12,2e-12,3.0446731076259864e-11,1
45.0,1.0,1000000000.0,1e-12,1000000000000.0,3.0446731076259864e-12,3.0446731076259864e-12,2e-12,3.0446731076259867e-09,1
45.0,1.0,1000000000.0,1e-09,100000000.0,3.0446731076259864e-12,3.0446731076259864e-12,2e-09,3.0446731076259863e-13,0
45.0,1.0,1000000000.0,1e-09,10000000000.0,3.0446731076259864e-12,3.0446731076259864e-12,2e-09,3.0446731076259864e-11,0
45.0,1.0,1000000000.0,1e-09,1000000000000.0,3.0446731076259864e-12,3.0446731076259864e-12,2e-09,3.0446731076259867e-09,1
45.0,1.0,1000000000.0,1e-08,100000000.0,3.0446731076259864e-12,3.0446731076259864e-12,2e-08,3.0446731076259863e-13,0
45.0,1.0,1000000000.0,1e-08,10000000000.0,3.0446731076259864e-12,3.0446731076259864e-12,2e-08,3.0446731076259864e-11,0
45.0,1.0,1000000000.0,1e-08,1000000000000.0,3.0446731076259864e-12,3.0446731076259864e-12,2e-08,3.0446731076259867e-09,0
45.0,1.0,1000000000.0,2.5e-08,100000000.0,3.0446731076259864e-12,3.0446731076259864e-12,5e-08,3.0446731076259863e-13,0
45.0,1.0,1000000000.0,2.5e-08,10000000000.0,3.0446731076259864e-12,3.0446731076259864e-12,5e-08,3.0446731076259864e-11,0
45.0,1.0,1000000000.0,2.5e-08,1000000000000.0,3.0446731076259864e-12,3.0446731076259864e-12,5e-08,3.0446731076259867e-09,0
45.0,1.0,100000000000.0,1e-12,100000000.0,3.0446731076259864e-10,3.0446731076259864e-10,2e-12,3.0446731076259863e-13,0
45.0,1.0,100000000000.0,1e-12,10000000000.0,3.0446731076259864e-10,3.0446731076259864e-10,2e-12,3.0446731076259864e-11,1
45.0,1.0,100000000000.0,1e-12,1000000000000.0,3.0446731076259864e-10,3.0446731076259864e-10,2e-12,3.0446731076259867e-09,1
45.0,1.0,100000000000.0,1e-09,100000000.0,3.0446731076259864e-10,3.0446731076259864e-10,2e-09,3.0446731076259863e-13,0
45.0,1.0,100000000000.0,1e-09,10000000000.0,3.0446731076259864e-10,3.0446731076259864e-10,2e-09,3.0446731076259864e-11,0
45.0,1.0,100000000000.0,1e-09,1000000000000.0,3.0446731076259864e-10,3.0446731076259864e-10,2e-09,3.0446731076259867e-09,1
45.0,1.0,100000000000.0,1e-08,100000000.0,3.0446731076259864e-10,3.0446731076259864e-10,2e-08,3.0446731076259863e-13,0
45.0,1.0,100000000000.0,1e-08,10000000000.0,3.0446731076259864e-10,3.0446731076259864e-10,2e-08,3.0446731076259864e-11,0
